Chemical_name	Target_gene	Target_gene_entrez_id	Source	RadiationDB_target gene_annotation
Glutathione	MMP9	4318	Drugbank	Experiment
Glutathione	GPX7	2882	Drugbank	-
Glutathione	GPX2	2877	Drugbank	Prediction
Glutathione	MGST3	4259	Drugbank	-
Glutathione	GSTM1	2944	Drugbank	Prediction
Glutathione	GSTM3	2947	Drugbank	Experiment
Glutathione	GPX1	2876	Drugbank	-
Glutathione	MGST2	4258	Drugbank	-
Glutathione	GSTM4	2948	Drugbank	-
Glutathione	GLRX2	51022	Drugbank	-
Glutathione	GSTZ1	2954	Drugbank	-
Lipoic acid	LIPT1	51601	Drugbank	-
Lipoic acid	LIAS	11019	Drugbank	-
Lipoic acid	SLC5A6	8884	Drugbank	-
Cholecalciferol	VDR	7421	Drugbank	-
Menadione	F2	2147	Drugbank	-
Menadione	GGCX	2677	Drugbank	-
Menadione	NQO2	4835	Drugbank	-
Menadione	PROC	5624	Drugbank	-
Menadione	BGLAP	632	Drugbank	-
Menadione	F9	2158	Drugbank	-
Menadione	PROS1	5627	Drugbank	-
Menadione	VKORC1	79001	Drugbank	-
Menadione	VKORC1L1	154807	Drugbank	-
Menadione	NQO1	1728	Drugbank	Experiment
Valsartan	AGTR1	185	Drugbank	-
Bortezomib	PSMB5	5693	Drugbank	-
Bortezomib	PSMB1	5689	Drugbank	-
Troglitazone	ESRRA	2101	Drugbank	-
Troglitazone	ACSL4	2182	Drugbank	Experiment
Troglitazone	PPARA	5465	Drugbank	Experiment
Troglitazone	ESRRG	2104	Drugbank	-
Troglitazone	PPARG	5468	Drugbank	Experiment
Troglitazone	PPARD	5467	Drugbank	-
Troglitazone	GSTP1	2950	Drugbank	Experiment
Troglitazone	SLC29A1	2030	Drugbank	-
Troglitazone	SERPINE1	5054	Drugbank	Experiment
Caffeine	PDE1B	5153	Drugbank	-
Caffeine	PDE3A	5139	Drugbank	-
Caffeine	PDE11A	50940	Drugbank	-
Caffeine	PDE7B	27115	Drugbank	-
Caffeine	PDE4C	5143	Drugbank	-
Caffeine	PDE8B	8622	Drugbank	-
Caffeine	RYR1	6261	Drugbank	-
Caffeine	PDE6A	5145	Drugbank	-
Caffeine	PDE4D	5144	Drugbank	-
Caffeine	PRKDC	5591	Drugbank	Experiment
Caffeine	PDE7A	5150	Drugbank	-
Caffeine	PDE9A	5152	Drugbank	-
Caffeine	PDE10A	10846	Drugbank	-
Caffeine	ATM	472	Drugbank	Experiment
Caffeine	PDE3B	5140	Drugbank	-
Caffeine	PDE6B	5158	Drugbank	-
Caffeine	ADORA2A	135	Drugbank	-
Caffeine	ADORA2B	136	Drugbank	Experiment
Caffeine	ADORA1	134	Drugbank	-
Caffeine	PDE8A	5151	Drugbank	-
Caffeine	PDE1A	5136	Drugbank	-
Caffeine	PIK3CB	5291	Drugbank	Experiment
Caffeine	PIK3CA	5290	Drugbank	Experiment
Caffeine	ITPR1	3708	Drugbank	Prediction
Caffeine	ADORA3	140	Drugbank	-
Caffeine	PDE5A	8654	Drugbank	-
Caffeine	PIK3CD	5293	Drugbank	Experiment
Caffeine	PDE1C	5137	Drugbank	-
Caffeine	PDE4A	5141	Drugbank	-
Caffeine	PDE2A	5138	Drugbank	-
Caffeine	ITPR2	3709	Drugbank	-
Caffeine	ITPR3	3710	Drugbank	-
Caffeine	PDE6C	5146	Drugbank	-
Caffeine	PDE4B	5142	Drugbank	-
Lovastatin	ITGAL	3683	Drugbank	-
Lovastatin	HDAC2	3066	Drugbank	Experiment
Lovastatin	HMGCR	3156	Drugbank	-
Raltitrexed	FPGS	2356	Drugbank	-
Raltitrexed	TYMS	7298	Drugbank	Experiment
Valproic acid	SCN2B	6327	Drugbank	-
Valproic acid	SCN8A	6334	Drugbank	-
Valproic acid	HDAC9	9734	Drugbank	Experiment
Valproic acid	ALDH5A1	7915	Drugbank	-
Valproic acid	SCN3B	55800	Drugbank	-
Valproic acid	SCN2A	6326	Drugbank	Prediction
Valproic acid	SCN5A	6331	Drugbank	-
Valproic acid	SCN11A	11280	Drugbank	-
Valproic acid	HDAC2	3066	Drugbank	Experiment
Valproic acid	SCN4B	6330	Drugbank	-
Valproic acid	SCN7A	6332	Drugbank	-
Valproic acid	SCN10A	6336	Drugbank	-
Valproic acid	SCN1A	6323	Drugbank	-
Valproic acid	OGDH	4967	Drugbank	-
Valproic acid	PPARD	5467	Drugbank	-
Valproic acid	SCN3A	6328	Drugbank	-
Valproic acid	SCN1B	6324	Drugbank	-
Valproic acid	SCN9A	6335	Drugbank	-
Valproic acid	PPARA	5465	Drugbank	Experiment
Valproic acid	PPARG	5468	Drugbank	Experiment
Valproic acid	SCN4A	6329	Drugbank	-
Valproic acid	ACADSB	36	Drugbank	-
Gefitinib	EGFR	1956	Drugbank	Experiment
Indomethacin	PTGR2	145482	Drugbank	-
Indomethacin	AKR1C3	8644	Drugbank	Experiment
Indomethacin	PPARA	5465	Drugbank	Experiment
Indomethacin	PTGS2	5743	Drugbank	Experiment
Indomethacin	GLO1	2739	Drugbank	-
Indomethacin	PPARG	5468	Drugbank	Experiment
Indomethacin	PTGDR2	11251	Drugbank	-
Indomethacin	EIF2AK2	5610	Drugbank	Experiment
Indomethacin	PLA2G2A	5320	Drugbank	-
Indomethacin	PTGS1	5742	Drugbank	Experiment
Metformin	PRKAB1	5564	Drugbank	-
Metformin	GPD1	2819	Drugbank	-
Metformin	ETFDH	2110	Drugbank	-
Digoxin	ATP1A1	476	Drugbank	-
Sorafenib	KDR	3791	Drugbank	Experiment
Sorafenib	PDGFRB	5159	Drugbank	Experiment
Sorafenib	RET	5979	Drugbank	-
Sorafenib	FLT4	2324	Drugbank	-
Sorafenib	RNASE3	6037	Drugbank	Prediction
Sorafenib	FGFR1	2260	Drugbank	Experiment
Sorafenib	BRAF	673	Drugbank	Experiment
Sorafenib	FLT3	2322	Drugbank	Experiment
Sorafenib	FLT1	2321	Drugbank	Experiment
Sorafenib	KIT	3815	Drugbank	-
Zoledronic acid	FDPS	2224	Drugbank	Experiment
Zoledronic acid	GGPS1	9453	Drugbank	-
Rosiglitazone	RXRA	6256	Drugbank	Experiment
Rosiglitazone	RXRG	6258	Drugbank	-
Rosiglitazone	ACSL4	2182	Drugbank	Experiment
Rosiglitazone	PPARA	5465	Drugbank	Experiment
Rosiglitazone	RXRB	6257	Drugbank	-
Rosiglitazone	PPARG	5468	Drugbank	Experiment
Rosiglitazone	PPARD	5467	Drugbank	-
Prochlorperazine	ADRA2C	152	Drugbank	-
Prochlorperazine	ADRA1D	146	Drugbank	-
Prochlorperazine	ADRA2A	150	Drugbank	-
Prochlorperazine	ADRA2B	151	Drugbank	-
Prochlorperazine	DRD2	1813	Drugbank	-
Prochlorperazine	ADRA1B	147	Drugbank	-
Prochlorperazine	HRH1	3269	Drugbank	Prediction
Prochlorperazine	ADRA1D	146	Drugbank	-
Gemcitabine	CMPK1	51727	Drugbank	-
Gemcitabine	TYMS	7298	Drugbank	Experiment
Gemcitabine	RRM1	6240	Drugbank	-
Dronabinol	PCDHA6	56142	Drugbank	-
Dronabinol	PCDHA4	56144	Drugbank	-
Fluoxetine	CHRNA3	1136	Drugbank	-
Fluoxetine	KCNH2	3757	Drugbank	-
Fluoxetine	CHRNA2	1135	Drugbank	-
Fluoxetine	HTR2C	3358	Drugbank	-
Fluoxetine	SLC6A4	6532	Drugbank	-
Fluoxetine	CKS1B	1163	Drugbank	Experiment
Fluoxetine	CHRNB4	1143	Drugbank	-
Celecoxib	CA2	760	Drugbank	-
Celecoxib	PTGS2	5743	Drugbank	Experiment
Celecoxib	CDH11	1009	Drugbank	-
Celecoxib	PDPK1	5170	Drugbank	Experiment
Celecoxib	CA3	761	Drugbank	-
Zidovudine	TERT	7015	Drugbank	Experiment
Ritonavir	NR1I2	8856	Drugbank	-
Cisplatin	TF	7018	Drugbank	-
Cisplatin	ATOX1	475	Drugbank	-
Cisplatin	MPG	4350	Drugbank	-
Cisplatin	A2M	2	Drugbank	-
Erlotinib	EGFR	1956	Drugbank	Experiment
Erlotinib	NR1I2	8856	Drugbank	-
Fluorouracil	TYMS	7298	Drugbank	Experiment
Diclofenac	PTGS2	5743	Drugbank	Experiment
Diclofenac	PTGS1	5742	Drugbank	Experiment
Chloroquine	TLR9	54106	Drugbank	Experiment
Chloroquine	GSTM1	2944	Drugbank	Prediction
Chloroquine	HMGB1	3146	Drugbank	Experiment
Chloroquine	ACE2	59272	Drugbank	-
Chloroquine	TNF	7124	Drugbank	Experiment
Chloroquine	GSTA2	2939	Drugbank	-
Clofarabine	POLA1	5422	Drugbank	-
Clofarabine	RRM1	6240	Drugbank	-
Clofibrate	PPARA	5465	Drugbank	Experiment
Simvastatin	ITGAL	3683	Drugbank	-
Simvastatin	HDAC2	3066	Drugbank	Experiment
Simvastatin	HMGCR	3156	Drugbank	-
Pemetrexed	DHFR	1719	Drugbank	-
Pemetrexed	TYMS	7298	Drugbank	Experiment
Pemetrexed	GART	2618	Drugbank	-
Pemetrexed	ATIC	471	Drugbank	-
Tretinoin	ALDH1A1	216	Drugbank	Experiment
Tretinoin	ALDH1A2	8854	Drugbank	-
Tretinoin	RARB	5915	Drugbank	-
Tretinoin	CYP26B1	56603	Drugbank	-
Tretinoin	CYP26A1	1592	Drugbank	Prediction
Tretinoin	RXRG	6258	Drugbank	-
Tretinoin	HPGDS	27306	Drugbank	-
Tretinoin	CYP26C1	340665	Drugbank	-
Tretinoin	PDK4	5166	Drugbank	-
Tretinoin	RARA	5914	Drugbank	-
Tretinoin	RXRB	6257	Drugbank	-
Tretinoin	GPRC5A	9052	Drugbank	-
Tretinoin	RXRA	6256	Drugbank	Experiment
Tretinoin	RARG	5916	Drugbank	-
Tretinoin	RBP4	5950	Drugbank	-
Tretinoin	OBP2A	29991	Drugbank	-
Tretinoin	LCN1	3933	Drugbank	-
Tretinoin	RARRES1	5918	Drugbank	-
Irinotecan	TOP1MT	116447	Drugbank	-
Irinotecan	TOP1	7150	Drugbank	-
Estradiol	GPER1	2852	Drugbank	-
Estradiol	BECN1	8678	Drugbank	Experiment
Estradiol	ESR2	2100	Drugbank	-
Estradiol	ESR1	2099	Drugbank	Experiment
Estradiol	NR1I2	8856	Drugbank	-
Estradiol	MT-ATP6	4508	Drugbank	-
Estradiol	CHRNA4	1137	Drugbank	-
Pentoxifylline	ADORA2A	135	Drugbank	-
Pentoxifylline	ADORA1	134	Drugbank	-
Pentoxifylline	NT5E	4907	Drugbank	Experiment
Ribavirin	IMPDH1	3614	Drugbank	-
Ribavirin	IMPDH2	3615	Drugbank	-
Acetazolamide	CA2	760	Drugbank	-
Acetazolamide	CA4	762	Drugbank	-
Acetazolamide	CA3	761	Drugbank	-
Acetazolamide	CA7	766	Drugbank	-
Acetazolamide	CA14	23632	Drugbank	-
Acetazolamide	CA1	759	Drugbank	-
Acetazolamide	CA12	771	Drugbank	-
Acetazolamide	AQP1	358	Drugbank	-
Disulfiram	ALDH2	217	Drugbank	Prediction
Disulfiram	DBH	1621	Drugbank	-
Mifepristone	NR3C1	2908	Drugbank	-
Mifepristone	PGR	5241	Drugbank	-
Mifepristone	NR1I2	8856	Drugbank	-
Mifepristone	KLKB1	3818	Drugbank	-
Aminolevulinic acid	ALAD	210	Drugbank	-
Sirolimus	MTOR	2475	Drugbank	Experiment
Azacitidine	DNMT1	1786	Drugbank	Experiment
Fulvestrant	ESR1	2099	Drugbank	Experiment
Doxorubicin	NOLC1	9221	Drugbank	-
Doxorubicin	TOP2A	7153	Drugbank	Prediction
Fenofibrate	MMP25	64386	Drugbank	-
Fenofibrate	NR1I2	8856	Drugbank	-
Fenofibrate	PPARA	5465	Drugbank	Experiment
Abacavir	HLA-B	3106	Drugbank	-
Melatonin	MPO	4353	Drugbank	-
Melatonin	CALM1	801	Drugbank	-
Melatonin	ASMT	438	Drugbank	-
Melatonin	NQO2	4835	Drugbank	-
Melatonin	MTNR1B	4544	Drugbank	-
Melatonin	CALR	811	Drugbank	Experiment
Melatonin	ESR1	2099	Drugbank	Experiment
Melatonin	RORB	6096	Drugbank	Prediction
Melatonin	MTNR1A	4543	Drugbank	-
Melatonin	EPX	8288	Drugbank	-
Fludarabine	POLA1	5422	Drugbank	-
Fludarabine	DCK	1633	Drugbank	-
Fludarabine	RRM1	6240	Drugbank	-
Atorvastatin	NR1I3	9970	Drugbank	-
Atorvastatin	AHR	196	Drugbank	-
Atorvastatin	HDAC2	3066	Drugbank	Experiment
Atorvastatin	DPP4	1803	Drugbank	-
Atorvastatin	HMGCR	3156	Drugbank	-
Ouabain	ATP1A1	476	Drugbank	-
Ouabain	ATP1A2	477	Drugbank	-
Ouabain	ATP1A3	478	Drugbank	-
Capecitabine	TYMS	7298	Drugbank	Experiment
Atovaquone	DHODH	1723	Drugbank	-
Proflavine	F2	2147	Drugbank	-
Arsenic trioxide	MAPK1	5594	Drugbank	Prediction
Arsenic trioxide	JUN	3725	Drugbank	Experiment
Arsenic trioxide	CDKN1A	1026	Drugbank	Experiment
Arsenic trioxide	HDAC1	3065	Drugbank	Experiment
Arsenic trioxide	MAPK3	5595	Drugbank	-
Arsenic trioxide	CCND1	595	Drugbank	Experiment
Arsenic trioxide	TXNRD1	7296	Drugbank	Experiment
Arsenic trioxide	AKT1	207	Drugbank	Experiment
Arsenic trioxide	IKBKB	3551	Drugbank	-
Arsenic trioxide	PML	5371	Drugbank	-
Paclitaxel	MAP4	4134	Drugbank	-
Paclitaxel	METAP2	10988	Drugbank	-
Paclitaxel	BCL2	596	Drugbank	Experiment
Paclitaxel	MAPT	4137	Drugbank	-
Paclitaxel	TUBB1	81027	Drugbank	-
Paclitaxel	NR1I2	8856	Drugbank	-
Dexamethasone	NR3C1	2908	Drugbank	-
Dexamethasone	ANXA1	301	Drugbank	Experiment
Dexamethasone	NR0B1	190	Drugbank	-
Dexamethasone	NR1I2	8856	Drugbank	-
Dexamethasone	NOS2	4843	Drugbank	-
Docetaxel	MAP4	4134	Drugbank	-
Docetaxel	METAP2	10988	Drugbank	-
Docetaxel	BCL2	596	Drugbank	Experiment
Docetaxel	MAPT	4137	Drugbank	-
Docetaxel	TUBB1	81027	Drugbank	-
Docetaxel	NR1I2	8856	Drugbank	-
Dasatinib	CSK	1445	Drugbank	-
Dasatinib	YES1	7525	Drugbank	-
Dasatinib	FGR	2268	Drugbank	-
Dasatinib	NR4A3	8013	Drugbank	-
Dasatinib	EPHB4	2050	Drugbank	-
Dasatinib	LYN	4067	Drugbank	-
Dasatinib	EPHA2	1969	Drugbank	Experiment
Dasatinib	STAT5B	6777	Drugbank	Experiment
Dasatinib	ABL1	25	Drugbank	Prediction
Dasatinib	ABL2	27	Drugbank	-
Dasatinib	FRK	2444	Drugbank	-
Dasatinib	LCK	3932	Drugbank	-
Dasatinib	EPHA5	2044	Drugbank	Experiment
Dasatinib	PDGFRB	5159	Drugbank	Experiment
Dasatinib	SRC	6714	Drugbank	Experiment
Dasatinib	KIT	3815	Drugbank	-
Dasatinib	PPAT	5471	Drugbank	-
Dasatinib	BCR	613	Drugbank	-
Dasatinib	BTK	695	Drugbank	Prediction
Dasatinib	MAP3K20	51776	Drugbank	-
Dasatinib	MAPK14	1432	Drugbank	Experiment
Dasatinib	HSPA8	3312	Drugbank	-
Dasatinib	FYN	2534	Drugbank	-
Decitabine	DNMT3A	1788	Drugbank	-
Decitabine	DNMT1	1786	Drugbank	Experiment
Decitabine	DNMT3B	1789	Drugbank	Experiment
Sunitinib	CSF1R	1436	Drugbank	-
Sunitinib	KDR	3791	Drugbank	Experiment
Sunitinib	PDGFRA	5156	Drugbank	-
Sunitinib	PDGFRB	5159	Drugbank	Experiment
Sunitinib	FLT4	2324	Drugbank	-
Sunitinib	FLT3	2322	Drugbank	Experiment
Sunitinib	FLT1	2321	Drugbank	Experiment
Sunitinib	KIT	3815	Drugbank	-
Everolimus	MTOR	2475	Drugbank	Experiment
Genistein	ESRRB	2103	Drugbank	-
Genistein	PTK2B	2185	Drugbank	-
Genistein	AKT1	207	Drugbank	Experiment
Genistein	NCOA2	10499	Drugbank	-
Genistein	NCOA1	8648	Drugbank	-
Genistein	ESR2	2100	Drugbank	-
Genistein	GPER1	2852	Drugbank	-
Genistein	ESR1	2099	Drugbank	Experiment
Genistein	CYP1B1	1545	Drugbank	-
Genistein	NR1I2	8856	Drugbank	-
Genistein	SHBG	6462	Drugbank	-
Genistein	TOP2A	7153	Drugbank	Prediction
Genistein	ESRRA	2101	Drugbank	-
AICA ribonucleotide	ATIC	471	Drugbank	-
Canavanine	NOS3	4846	Drugbank	Prediction
7-Hydroxystaurosporine	PDPK1	5170	Drugbank	Experiment
Staurosporine	PRKCQ	5588	Drugbank	-
Staurosporine	PIM1	5292	Drugbank	Experiment
Staurosporine	PDPK1	5170	Drugbank	Experiment
Staurosporine	PIK3CG	5294	Drugbank	-
Staurosporine	CSK	1445	Drugbank	-
Staurosporine	CDK2	1017	Drugbank	Experiment
Staurosporine	SYK	6850	Drugbank	Prediction
Staurosporine	GSK3B	2932	Drugbank	Experiment
Staurosporine	LCK	3932	Drugbank	-
Staurosporine	ZAP70	7535	Drugbank	-
Staurosporine	MAPKAPK2	9261	Drugbank	-
Staurosporine	ITK	3702	Drugbank	-
Staurosporine	CHRM1	1128	Drugbank	-
2-Methoxyestradiol	CYP1B1	1545	Drugbank	-
2-Methoxyestradiol	CYP19A1	1588	Drugbank	-
2-Methoxyestradiol	COMT	1312	Drugbank	-
2-Methoxyestradiol	CYP1A1	1543	Drugbank	-
2-Methoxyestradiol	HIF1A	3091	Drugbank	Experiment
Myricetin	JAK1	3716	Drugbank	-
Myricetin	PIK3CG	5294	Drugbank	-
Geldanamycin	HSP90AB1	3326	Drugbank	-
Geldanamycin	HSP90AA1	3320	Drugbank	Experiment
Geldanamycin	HSP90B1	7184	Drugbank	Experiment
Cyclic adenosine monophosphate	HCN2	610	Drugbank	-
Cyclic adenosine monophosphate	PRKAR1A	5573	Drugbank	-
Cyclic adenosine monophosphate	PRKAR2B	5577	Drugbank	-
Vorinostat	HDAC6	10013	Drugbank	Experiment
Vorinostat	HDAC3	8841	Drugbank	-
Vorinostat	HDAC8	55869	Drugbank	-
Vorinostat	HDAC1	3065	Drugbank	Experiment
Vorinostat	HDAC2	3066	Drugbank	Experiment
4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide	HDAC8	55869	Drugbank	-
LY-294002	PIM1	5292	Drugbank	Experiment
Nicotinamide	LDHA	3939	Drugbank	Experiment
Nicotinamide	PARP1	142	Drugbank	Experiment
Nicotinamide	SIRT5	23408	Drugbank	-
Nicotinamide	BST1	683	Drugbank	-
Resveratrol	APP	351	Drugbank	-
Resveratrol	YARS1	8565	Drugbank	-
Resveratrol	AKT1	207	Drugbank	Experiment
Resveratrol	CBR1	873	Drugbank	Experiment
Resveratrol	MTNR1B	4544	Drugbank	-
Resveratrol	PTGS2	5743	Drugbank	Experiment
Resveratrol	NR1I2	8856	Drugbank	-
Resveratrol	MTNR1A	4543	Drugbank	-
Resveratrol	SIRT1	23411	Drugbank	Experiment
Resveratrol	ITGB3	3690	Drugbank	Experiment
Resveratrol	SNCA	6622	Drugbank	Prediction
Resveratrol	ESR1	2099	Drugbank	Experiment
Resveratrol	ITGA5	3678	Drugbank	-
Resveratrol	ALOX15	246	Drugbank	Experiment
Resveratrol	AHR	196	Drugbank	-
Resveratrol	KHSRP	8570	Drugbank	-
Resveratrol	CSNK2A2	1459	Drugbank	Experiment
Resveratrol	PI4K2B	55300	Drugbank	-
Resveratrol	PTGS1	5742	Drugbank	Experiment
Resveratrol	ALOX5	240	Drugbank	-
Resveratrol	NQO2	4835	Drugbank	-
Resveratrol	NR1I3	9970	Drugbank	-
Resveratrol	PPARA	5465	Drugbank	Experiment
Resveratrol	CLEC14A	161198	Drugbank	-
Resveratrol	PPARG	5468	Drugbank	Experiment
Resveratrol	SLC2A1	6513	Drugbank	Experiment
Patupilone	TUBA4A	7277	Drugbank	-
Patupilone	TUBA1B	10376	Drugbank	-
Patupilone	TUBB4B	10383	Drugbank	-
Patupilone	TUBB1	81027	Drugbank	-
Patupilone	TUBA1C	84790	Drugbank	-
Patupilone	TUBA1A	7846	Drugbank	-
Patupilone	TUBB2A	7280	Drugbank	Prediction
Patupilone	TUBA8	51807	Drugbank	-
Patupilone	TUBB3	10381	Drugbank	-
Patupilone	TUBB4A	10382	Drugbank	-
Ubenimex	LTA4H	4048	Drugbank	-
Alvocidib	EGFR	1956	Drugbank	Experiment
Alvocidib	CDK1	983	Drugbank	Experiment
Alvocidib	CDK7	1022	Drugbank	-
Alvocidib	PYGM	5837	Drugbank	-
Alvocidib	PYGB	5834	Drugbank	Prediction
Alvocidib	CDK5	1020	Drugbank	-
Alvocidib	CDK6	1021	Drugbank	Experiment
Alvocidib	CDK8	1024	Drugbank	Experiment
Alvocidib	CDK9	1025	Drugbank	Experiment
Alvocidib	CDK4	1019	Drugbank	Experiment
Alvocidib	CDK2	1017	Drugbank	Experiment
Berberine	BIRC5	332	Drugbank	Experiment
Quercetin	UBA1	7317	Drugbank	-
Quercetin	ESR2	2100	Drugbank	-
Quercetin	HCK	3055	Drugbank	-
Quercetin	STK17B	9262	Drugbank	-
Quercetin	NR1I2	8856	Drugbank	-
Quercetin	HSP90AA1	3320	Drugbank	Experiment
Quercetin	ATP5F1A	498	Drugbank	-
Quercetin	CBR1	873	Drugbank	Experiment
Quercetin	PIM1	5292	Drugbank	Experiment
Quercetin	RUVBL2	10856	Drugbank	-
Quercetin	PIK3CG	5294	Drugbank	-
Quercetin	CEBPB	1051	Drugbank	-
Quercetin	ESR1	2099	Drugbank	Experiment
Quercetin	CYP1B1	1545	Drugbank	-
Quercetin	ACTB	60	Drugbank	-
Quercetin	AHR	196	Drugbank	-
Quercetin	CSNK2A2	1459	Drugbank	Experiment
Quercetin	SF3B3	23450	Drugbank	-
Quercetin	HIBCH	26275	Drugbank	-
Quercetin	UGT3A1	133688	Drugbank	-
Quercetin	EIF3F	8665	Drugbank	-
Quercetin	HSPA2	3306	Drugbank	-
Quercetin	CSNK2B	1460	Drugbank	-
Quercetin	ATP5F1B	506	Drugbank	-
Quercetin	NQO2	4835	Drugbank	-
Quercetin	ATP5F1C	509	Drugbank	-
Quercetin	SHBG	6462	Drugbank	-
Tretazicar	NQO2	4835	Drugbank	-
Trichostatin A	HDAC8	55869	Drugbank	-
Trichostatin A	HDAC7	51564	Drugbank	-
Ixabepilone	TUBB3	10381	Drugbank	-
Cediranib	KDR	3791	Drugbank	Experiment
AZD3409	FNTA	2339	Drugbank	-
AZD3409	FNTB	2342	Drugbank	-
Belinostat	HDAC5	10014	Drugbank	-
Belinostat	HDAC7	51564	Drugbank	-
Belinostat	HDAC4	9759	Drugbank	Experiment
Belinostat	HDAC10	83933	Drugbank	-
Belinostat	HDAC1	3065	Drugbank	Experiment
