LncRNA_symbol	Entrez_ID	Target_official_symbol	Target_entrez_gene_ID	PMID	Source	RadiationDB_target gene_annotation
CCAT1	100507056	hsa-miR-212-3p	406994	29228867	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-219a-1	407002	29231252	LncRNA2Target	-
CCAT1	100507056	hsa-miR-148a-3p	406940	29719612	LncRNA2Target	-
CCAT1	100507056	hsa-miR-490-3p	574443	30250403	LncRNA2Target	-
CCAT1	100507056	hsa-miR-218-5p	0	31114981	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-218-5p	0	31310241	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-219a-5p	0	31478245	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-181a-5p	0	31599709	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-181b-5p	0	31807005	LncRNA2Target	-
CCAT1	100507056	hsa-miR-218-5p	0	32084702	LncRNA2Target	Experiment
CCAT1	100507056	hsa-miR-296-5p	407022	32606961	LncRNA2Target	Experiment
CCAT2	10180548	hsa-miR-17	406952	23796952	LncRNA2Target	-
CCAT2	10180548	hsa-miR-20a	406982	23796952	LncRNA2Target	Experiment
CCAT2	10180548	MYC	4609	23796952	LncRNA2Target	Experiment
CCAT2	101805488	ZBTB7A	51341	28088736	LncRNA2Target	-
CCAT2	101805488	CDH1	999	28280353	LncRNA2Target	Experiment
CCAT2	101805488	SNAI2	6591	28280353	LncRNA2Target	Experiment
CCAT2	101805488	VIM	7431	28280353	LncRNA2Target	-
CCAT2	101805488	hsa-miR-424-5p	494336	28550684	LncRNA2Target	Experiment
CCAT2	101805488	hsa-miR-145-5p	406937	28964256	LncRNA2Target	Experiment
CCAT2	101805488	LATS2	26524	29502343	LncRNA2Target	-
CCAT2	101805488	MYC	4609	29502343	LncRNA2Target	Experiment
CCAT2	101805488	hsa-miR-143-3p	406935	33664828	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	CDKN2B	1030	18185590	LncRNA2Target	-
CDKN2B-AS1	100048912	ADIPOR1	51094	23813974	LncRNA2Target	-
CDKN2B-AS1	100048912	TMEM258	746	23813974	LncRNA2Target	-
CDKN2B-AS1	100048912	VAMP3	9341	23813974	LncRNA2Target	-
CDKN2B-AS1	100048912	CARD8	22900	24385277	LncRNA2Target	-
CDKN2B-AS1	100048912	KLF2	10365	25504755	LncRNA2Target	-
CDKN2B-AS1	100048912	ABCB1	5243	27121324	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	ABCC1	4363	27121324	LncRNA2Target	-
CDKN2B-AS1	100048912	MYC	4609	27307748	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	KLF2	10365	27391317	LncRNA2Target	-
CDKN2B-AS1	100048912	hsa-let-7a-1	406881	28117929	LncRNA2Target	-
CDKN2B-AS1	100048912	hsa-miR-125a-5p	406910	28402230	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	hsa-miR-199a-1	406976	28961506	LncRNA2Target	-
CDKN2B-AS1	100048912	hsa-miR-122	406906	29127494	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	hsa-miR-122	406906	29127494	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	ABCC1	4363	29176691	LncRNA2Target	-
CDKN2B-AS1	100048912	ABCC2	1244	29176691	LncRNA2Target	Prediction
CDKN2B-AS1	100048912	hsa-let-7a-1	406881	29278879	LncRNA2Target	-
CDKN2B-AS1	100048912	SMAD2	4087	29278879	LncRNA2Target	-
CDKN2B-AS1	100048912	SMAD7	4092	29278879	LncRNA2Target	-
CDKN2B-AS1	100048912	TGFB1	7040	29278879	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	SOX2	6657	29463902	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	AHNAK2	113146	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	CLIP1	6249	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	CXCL11	6373	30655286	LncRNA2Target	Prediction
CDKN2B-AS1	100048912	ENC1	8507	30655286	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	EZR	7430	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	LYVE1	10894	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	TMEM100	55273	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	TMEM106B	54664	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	TNFSF10	8743	30655286	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	WASL	8976	30655286	LncRNA2Target	-
CDKN2B-AS1	100048912	hsa-miR-34a-5p	407040	31830533	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	hsa-miR-424-5p	494336	32801906	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	hsa-miR-378b	100422933	33116641	LncRNA2Target	-
CDKN2B-AS1	100048912	hsa-miR-143-3p	406935	33603842	LncRNA2Target	Experiment
CDKN2B-AS1	100048912	hsa-miR-424-5p	494336	33820740	LncRNA2Target	Experiment
CYTOR	112597	EGFR	1956	26538117	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-193a	406968	27633443	LncRNA2Target	-
CYTOR	112597	AKT1	207	28787699	LncRNA2Target	Experiment
CYTOR	112597	CDKN1A	1026	28787699	LncRNA2Target	Experiment
CYTOR	112597	EGFR	1956	28787699	LncRNA2Target	Experiment
CYTOR	112597	FN1	2335	28787699	LncRNA2Target	Experiment
CYTOR	112597	PIK3CB	5291	28787699	LncRNA2Target	Experiment
CYTOR	112597	VIM	7431	28787699	LncRNA2Target	-
CYTOR	112597	BCL2	596	29156700	LncRNA2Target	Experiment
CYTOR	112597	EGFR	1956	29156700	LncRNA2Target	Experiment
CYTOR	112597	BCL2L12	83596	29156700	LncRNA2Target	-
CYTOR	112597	hsa-miR-497-5p	574456	30272368	LncRNA2Target	-
CYTOR	112597	hsa-miR-107	406901	31802892	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-139-5p	406931	31954697	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-613	693198	32266320	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-613	693198	32541644	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-613	693198	32726126	LncRNA2Target	Experiment
CYTOR	112597	hsa-miR-205-5p	406988	32732173	LncRNA2Target	Experiment
DGCR5	26220	EGFR	1956	29393141	LncRNA2Target	Experiment
DGCR5	26220	hsa-miR-873-5p	100126316	29790668	LncRNA2Target	-
DGCR5	26220	hsa-miR-346	442911	30216442	LncRNA2Target	-
DGCR5	26220	hsa-miR-195-5p	406971	30549038	LncRNA2Target	Experiment
DGCR5	26220	hsa-miR-2861	100422910	30651878	LncRNA2Target	-
DGCR5	26220	hsa-miR-506-3p	574511	30980388	LncRNA2Target	-
DGCR5	26220	hsa-miR-3619-5p	100500828	32742494	LncRNA2Target	-
EGOT	100126791	MBP	4155	17351112	LncRNA2Target	-
EGOT	100126791	RNASE2	6036	17351112	LncRNA2Target	-
EGOT	100126791	CCND1	595	29209988	LncRNA2Target	Experiment
EGOT	100126791	hsa-miR-33a	407039	33408522	LncRNA2Target	Experiment
EGOT	100126791	hsa-miR-33b-5p	693120	33408522	LncRNA2Target	-
FGD5-AS1	100505641	hsa-miR-493	574450	33550957	LncRNA2Target	-
GACAT3	104797537	hsa-miR-497-5p	574456	29091858	LncRNA2Target	-
GACAT3	104797537	hsa-miR-149-5p	406941	29593420	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	23933812	LncRNA2Target	Experiment
GAS5	60674	CDK6	1021	24026436	LncRNA2Target	Experiment
GAS5	60674	CDK6	1021	24069260	LncRNA2Target	Experiment
GAS5	60674	E2F1	1869	24357161	LncRNA2Target	Experiment
GAS5	60674	TP53	7157	24357161	LncRNA2Target	Experiment
GAS5	60674	EIF4E	1977	25197831	LncRNA2Target	Experiment
GAS5	60674	ANXA2	302	25806802	LncRNA2Target	Experiment
GAS5	60674	IGF1R	3480	25925741	LncRNA2Target	Experiment
GAS5	60674	YBX1	4904	25959498	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-222-3p	407007	26370254	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	26404135	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-222-3p	407007	26446789	LncRNA2Target	Experiment
GAS5	60674	PTEN	5728	26511107	LncRNA2Target	Experiment
GAS5	60674	VIM	7431	26707238	LncRNA2Target	-
GAS5	60674	MMP2	4313	26846479	LncRNA2Target	-
GAS5	60674	hsa-miR-21-5p	406991	27034004	LncRNA2Target	Experiment
GAS5	60674	PTEN	5728	27034004	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-103	0	27743383	LncRNA2Target	-
GAS5	60674	APAF1	317	27779700	LncRNA2Target	Experiment
GAS5	60674	CCND1	595	27779700	LncRNA2Target	Experiment
GAS5	60674	CDKN1A	1026	27779700	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-23a-3p	407010	27827524	LncRNA2Target	Experiment
GAS5	60674	IL10	3586	28099146	LncRNA2Target	-
GAS5	60674	VEGFA	7422	28099146	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-135b-5p	442891	28117028	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-137	406928	28386376	LncRNA2Target	Experiment
GAS5	60674	CDKN1B	1027	28396462	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-221-3p	407006	28519068	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	28526319	LncRNA2Target	Experiment
GAS5	60674	SMAD3	4088	28659340	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-196a-1	406972	28671039	LncRNA2Target	-
GAS5	60674	hsa-miR-205-5p	406988	28671039	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	28686971	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-222-3p	407007	29098549	LncRNA2Target	Experiment
GAS5	60674	PPEF1	5475	29267258	LncRNA2Target	-
GAS5	60674	hsa-miR-301a	407027	29386089	LncRNA2Target	Experiment
GAS5	60674	FGF1	2246	29490650	LncRNA2Target	-
GAS5	60674	hsa-miR-21-5p	406991	29490650	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-148a-3p	406940	29719612	LncRNA2Target	-
GAS5	60674	hsa-miR-21-5p	406991	29719612	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-18a	406953	29748618	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	29896229	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-222-3p	407007	29969658	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-182-5p	406958	30066886	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-221-3p	407006	30388621	LncRNA2Target	Experiment
GAS5	60674	GSTM3	2947	31172354	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-106a-5p	406899	31182630	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-222-3p	407007	31594210	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-34a-5p	407040	31894330	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-21-5p	406991	31910411	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-320a	407037	33061579	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-23a-3p	407010	33982771	LncRNA2Target	Experiment
GAS5	60674	hsa-miR-221-3p	407006	34022918	LncRNA2Target	Experiment
H19	283120	COL2A1	1280	20529846	LncRNA2Target	-
H19	283120	BAX	581	22776265	LncRNA2Target	Experiment
H19	283120	hsa-miR-141-3p	406933	23222811	LncRNA2Target	-
H19	283120	hsa-miR-200a-3p	406983	23222811	LncRNA2Target	Experiment
H19	283120	hsa-miR-200b-3p	406984	23222811	LncRNA2Target	-
H19	283120	hsa-miR-200c-3p	406985	23222811	LncRNA2Target	Experiment
H19	283120	hsa-miR-429	554210	23222811	LncRNA2Target	-
H19	283120	DICER1	23405	24055342	LncRNA2Target	-
H19	283120	HMGA2	8091	24055342	LncRNA2Target	-
H19	283120	hsa-miR-675-5p	100033819	24466011	LncRNA2Target	-
H19	283120	CDH1	999	24703882	LncRNA2Target	Experiment
H19	283120	CDH1	999	24703882	LncRNA2Target	Experiment
H19	283120	CDH1	999	24920070	LncRNA2Target	Experiment
H19	283120	HMGA2	8091	24920070	LncRNA2Target	-
H19	283120	hsa-let-7a-1	406881	24920070	LncRNA2Target	-
H19	283120	VIM	7431	24920070	LncRNA2Target	-
H19	283120	AHCY	191	26687445	LncRNA2Target	-
H19	283120	hsa-miR-107	406901	26722426	LncRNA2Target	Experiment
H19	283120	hsa-miR-194-1	406969	26803515	LncRNA2Target	-
H19	283120	hsa-miR-148a-3p	406940	26872375	LncRNA2Target	-
H19	283120	hsa-miR-675-5p	100033819	26931432	LncRNA2Target	-
H19	283120	NANOG	79923	26983719	LncRNA2Target	Experiment
H19	283120	POU5F1	5460	26983719	LncRNA2Target	Experiment
H19	283120	PROM1	8842	26983719	LncRNA2Target	Prediction
H19	283120	SOX2	6657	26983719	LncRNA2Target	Experiment
H19	283120	EIF4A3	9775	26989025	LncRNA2Target	-
H19	283120	hsa-miR-630	693215	27040767	LncRNA2Target	Experiment
H19	283120	CDKN1A	1026	27063004	LncRNA2Target	Experiment
H19	283120	CAMK2D	817	27084844	LncRNA2Target	-
H19	283120	TGFBR3	7049	27223264	LncRNA2Target	-
H19	283120	CDH1	999	27247022	LncRNA2Target	Experiment
H19	283120	MMP9	4318	27247022	LncRNA2Target	Experiment
H19	283120	VIM	7431	27247022	LncRNA2Target	-
H19	283120	PHLPP1	23239	27248326	LncRNA2Target	-
H19	283120	IGF1R	3480	27350269	LncRNA2Target	Experiment
H19	283120	ABCB1	5243	27366087	LncRNA2Target	Experiment
H19	283120	ABCC1	4363	27366087	LncRNA2Target	-
H19	283120	ABCG2	9429	27366087	LncRNA2Target	Prediction
H19	283120	hsa-miR-29a-3p	407021	27543358	LncRNA2Target	Experiment
H19	283120	CTNNB1	1499	27607135	LncRNA2Target	Experiment
H19	283120	EGFR	1956	27607135	LncRNA2Target	Experiment
H19	283120	MACC1	346489	27607135	LncRNA2Target	-
H19	283120	MAPK1	5594	27607135	LncRNA2Target	Prediction
H19	283120	MAPK3	5595	27607135	LncRNA2Target	-
H19	283120	VDR	7421	27661667	LncRNA2Target	-
H19	283120	hsa-miR-140-5p	406932	27693036	LncRNA2Target	-
H19	283120	MTOR	2475	27698867	LncRNA2Target	Experiment
H19	283120	VEGFA	7422	27698867	LncRNA2Target	Experiment
H19	283120	hsa-miR-342-3p	442909	27716361	LncRNA2Target	Experiment
H19	283120	Notch1	25496	27789555	LncRNA2Target	-
H19	283120	TP53	7157	27789555	LncRNA2Target	Experiment
H19	283120	hsa-let-7a-1	406881	27809873	LncRNA2Target	-
H19	283120	hsa-let-7b-5p	406884	27809873	LncRNA2Target	Experiment
H19	283120	hsa-let-7a-1	406881	27813675	LncRNA2Target	-
H19	283120	hsa-miR-29b-1	407024	27895107	LncRNA2Target	-
H19	283120	CD151	977	27903964	LncRNA2Target	-
H19	283120	hsa-miR-200a-3p	406983	28164117	LncRNA2Target	Experiment
H19	283120	PA2G4	5036	28430627	LncRNA2Target	-
H19	283120	DNMT1	1786	28544374	LncRNA2Target	Experiment
H19	283120	hsa-miR-152	406943	28544374	LncRNA2Target	-
H19	283120	FOXO1	2308	28652859	LncRNA2Target	-
H19	283120	SIRT1	23411	28652859	LncRNA2Target	Experiment
H19	283120	ALPL	249	28662497	LncRNA2Target	-
H19	283120	RUNX2	860	28662497	LncRNA2Target	-
H19	283120	hsa-miR-19a-3p	406979	28765931	LncRNA2Target	Experiment
H19	283120	hsa-miR-19b-1	406980	28765931	LncRNA2Target	-
H19	283120	DNMT3B	1789	28779971	LncRNA2Target	Experiment
H19	283120	SPP1	6696	28886306	LncRNA2Target	Experiment
H19	283120	PDK1	5163	29106390	LncRNA2Target	-
H19	283120	hsa-miR-130b-3p	406920	29172088	LncRNA2Target	Prediction
H19	283120	ABCB1	5243	29190892	LncRNA2Target	Experiment
H19	283120	ABCC4	10257	29190892	LncRNA2Target	Experiment
H19	283120	hsa-miR-29a-3p	407021	29214011	LncRNA2Target	Experiment
H19	283120	hsa-miR-138-1	406929	29253550	LncRNA2Target	-
H19	283120	E2F1	1869	29344285	LncRNA2Target	Experiment
H19	283120	hsa-miR-675-5p	100033819	29344285	LncRNA2Target	-
H19	283120	EZH2	2146	29344674	LncRNA2Target	Experiment
H19	283120	hsa-miR-138-1	406929	29344674	LncRNA2Target	-
H19	283120	hsa-miR-106a-5p	406899	29350287	LncRNA2Target	Experiment
H19	283120	hsa-miR-148b-3p	442892	29415742	LncRNA2Target	Experiment
H19	283120	hsa-miR-148a-3p	406940	29719612	LncRNA2Target	-
H19	283120	hsa-miR-29b-1	407024	29754471	LncRNA2Target	-
H19	283120	hsa-miR-22-3p	407004	31081061	LncRNA2Target	Experiment
H19	283120	VGF	7425	31117050	LncRNA2Target	Experiment
H19	283120	hsa-miR-138-5p	0	31217890	LncRNA2Target	Experiment
H19	283120	hsa-miR-148b-3p	442892	31503013	LncRNA2Target	Experiment
H19	283120	hsa-miR-152	406943	31712391	LncRNA2Target	-
H19	283120	hsa-miR-138-5p	0	31777264	LncRNA2Target	Experiment
H19	283120	hsa-miR-106a-5p	406899	31894109	LncRNA2Target	Experiment
H19	283120	hsa-miR-18a	406953	32265386	LncRNA2Target	Experiment
H19	283120	hsa-miR-19a-3p	406979	32335212	LncRNA2Target	Experiment
H19	283120	hsa-miR-140-5p	406932	32345782	LncRNA2Target	-
H19	283120	hsa-miR-585	693170	32356199	LncRNA2Target	-
H19	283120	hsa-miR-340-5p	442908	32420678	LncRNA2Target	Experiment
H19	283120	hsa-miR-615-3p	693200	32606925	LncRNA2Target	-
H19	283120	hsa-miR-3187-3p	100422854	32888745	LncRNA2Target	-
H19	283120	hsa-miR-19b-1	406980	33022863	LncRNA2Target	-
H19	283120	hsa-miR-491-5p	574444	33061615	LncRNA2Target	-
H19	283120	hsa-miR-107	406901	33314408	LncRNA2Target	Experiment
H19	283120	hsa-miR-130a-3p	406919	33324070	LncRNA2Target	Experiment
HCP5	10866	ST6GAL2	84620	29515098	LncRNA2Target	-
HCP5	10866	hsa-miR-299	407023	30745534	LncRNA2Target	-
HCP5	10866	hsa-miR-139-5p	406931	30899394	LncRNA2Target	Experiment
HCP5	10866	hsa-miR-128-3p	0	31102936	LncRNA2Target	-
HCP5	10866	hsa-miR-4656	100616465	31746434	LncRNA2Target	-
HCP5	10866	hsa-miR-140-5p	406932	32407143	LncRNA2Target	-
HCP5	10866	hsa-miR-27b-3p	407019	33162801	LncRNA2Target	Experiment
HCP5	10866	hsa-miR-128-1	406915	33994812	LncRNA2Target	-
HNF1A-AS1	283460	H19	283120	24000294	LncRNA2Target	Experiment
HNF1A-AS1	283460	hsa-miR-214-3p	406996	28656277	LncRNA2Target	Experiment
HNF1A-AS1	283460	hsa-miR-17	406952	29289833	LncRNA2Target	-
HNF1A-AS1	283460	PTPN6	5777	29466992	LncRNA2Target	Experiment
HOTAIR	100124700	MMP9	4318	22289527	LncRNA2Target	Experiment
HOTAIR	100124700	VEGFA	7422	22289527	LncRNA2Target	Experiment
HOTAIR	100124700	PTEN	5728	23141928	LncRNA2Target	Experiment
HOTAIR	100124700	MMP1	4312	23847441	LncRNA2Target	Prediction
HOTAIR	100124700	MMP3	4314	23847441	LncRNA2Target	Prediction
HOTAIR	100124700	HOXA5	3202	24103700	LncRNA2Target	-
HOTAIR	100124700	WIF1	11197	24118380	LncRNA2Target	-
HOTAIR	100124700	CDKN1A	1026	24155936	LncRNA2Target	Experiment
HOTAIR	100124700	CD82	3732	24663081	LncRNA2Target	Experiment
HOTAIR	100124700	QKI	9444	24663081	LncRNA2Target	-
HOTAIR	100124700	RBM38	55544	24663081	LncRNA2Target	Experiment
HOTAIR	100124700	ERBB2	2064	24775712	LncRNA2Target	Experiment
HOTAIR	100124700	EZH2	2146	25149152	LncRNA2Target	Experiment
HOTAIR	100124700	MMP9	4318	25405331	LncRNA2Target	Experiment
HOTAIR	100124700	VEGFA	7422	25405331	LncRNA2Target	Experiment
HOTAIR	100124700	CDKN1A	1026	25547435	LncRNA2Target	Experiment
HOTAIR	100124700	BCL2	596	25807808	LncRNA2Target	Experiment
HOTAIR	100124700	CASP3	836	25807808	LncRNA2Target	Experiment
HOTAIR	100124700	CDH1	999	25901533	LncRNA2Target	Experiment
HOTAIR	100124700	HIF1A	3091	26088446	LncRNA2Target	Experiment
HOTAIR	100124700	E7	1489079	26152361	LncRNA2Target	-
HOTAIR	100124700	SETD2	29072	26172293	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-326	442900	26183397	LncRNA2Target	-
HOTAIR	100124700	CACNA1C	775	26255135	LncRNA2Target	-
HOTAIR	100124700	AR	367	26411689	LncRNA2Target	Experiment
HOTAIR	100124700	ANGPT2	285	26717040	LncRNA2Target	-
HOTAIR	100124700	VEGFA	7422	26717040	LncRNA2Target	Experiment
HOTAIR	100124700	LAMB3	3914	26800519	LncRNA2Target	-
HOTAIR	100124700	LAMC2	3919	26800519	LncRNA2Target	Prediction
HOTAIR	100124700	MMP1	4312	26800519	LncRNA2Target	Prediction
HOTAIR	100124700	SNAI1	6615	26800519	LncRNA2Target	Experiment
HOTAIR	100124700	TJP1	7082	26800519	LncRNA2Target	Prediction
HOTAIR	100124700	TWIST1	7291	26800519	LncRNA2Target	Experiment
HOTAIR	100124700	ZEB1	6935	26800519	LncRNA2Target	Experiment
HOTAIR	100124700	SIRT1	23411	27129296	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-373-3p	442918	27484896	LncRNA2Target	-
HOTAIR	100124700	ABCC1	4363	27875938	LncRNA2Target	-
HOTAIR	100124700	HuR	363854	27941336	LncRNA2Target	-
HOTAIR	100124700	ARID4A	5926	27966488	LncRNA2Target	-
HOTAIR	100124700	CCNE1	898	27966488	LncRNA2Target	-
HOTAIR	100124700	RB1	5925	27966488	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-454	768216	28182000	LncRNA2Target	-
HOTAIR	100124700	AKT1	207	28407576	LncRNA2Target	Experiment
HOTAIR	100124700	MAPK8	5599	28407576	LncRNA2Target	-
HOTAIR	100124700	TP53	7157	28407576	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-148a-3p	406940	28441714	LncRNA2Target	-
HOTAIR	100124700	TNFRSF10B	8795	28476883	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-217	406999	28492542	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-148b-3p	442892	28701916	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-17	406952	28745272	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-326	442900	28893349	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-218-1	407000	28918035	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-34a-5p	407040	29080815	LncRNA2Target	Experiment
HOTAIR	100124700	CAV1	857	29080835	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-331-3p	442903	29130509	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-613	693198	29187267	LncRNA2Target	Experiment
HOTAIR	100124700	DNMT1	1786	29221985	LncRNA2Target	Experiment
HOTAIR	100124700	EZH2	2146	29221985	LncRNA2Target	Experiment
HOTAIR	100124700	CDKN1A	1026	29228426	LncRNA2Target	Experiment
HOTAIR	100124700	FASN	2194	29228426	LncRNA2Target	Experiment
HOTAIR	100124700	MMP9	4318	29228426	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-126-3p	406913	29319172	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-15B	406949	29323737	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-23B	407011	29335299	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-143-3p	406935	29336659	LncRNA2Target	Experiment
HOTAIR	100124700	RUNX3	864	29417297	LncRNA2Target	Experiment
HOTAIR	100124700	ADAMTS5	11096	29441864	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-20a	406982	29473328	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-148a-3p	406940	29719612	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-328	442901	30187491	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-206	406989	30205383	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-143-3p	406935	30464631	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-217	406999	30557546	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-126-3p	406913	30738012	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-17	406952	31607138	LncRNA2Target	-
HOTAIR	100124700	hsa-miR-214-3p	406996	31933720	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-1-3p	0	31986414	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-206	406989	31986414	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-34a-5p	407040	32700738	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-519a-3p	0	32721218	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-149-5p	406941	32943921	LncRNA2Target	Experiment
HOTAIR	100124700	hsa-miR-874	100126343	33013268	LncRNA2Target	Prediction
HOTAIRM1	100506311	HOXA1	3198	19144990	LncRNA2Target	-
HOTAIRM1	100506311	HOXA4	3201	19144990	LncRNA2Target	-
HOTAIRM1	100506311	hsa-miR-106b-5p	406900	27740626	LncRNA2Target	Experiment
