miRNA,Target gene,Gene id,PMID,Source,RadiationDB_target gene_annotation
hsa-let-7g-5p,MYC,4609,20309945,miRTarBase,Experiment
hsa-let-7g-5p,HMGA2,8091,18413726//17600087//18308936//23318420,miRTarBase,-
hsa-let-7g-5p,IGF2BP1,10642,18413726,miRTarBase,-
hsa-let-7g-5p,CDKN2A,1029,20309945,miRTarBase,Experiment
hsa-let-7g-5p,BCL2L1,598,20347499,miRTarBase,Experiment
hsa-let-7g-5p,GAB2,9846,21868760,miRTarBase,-
hsa-let-7g-5p,FN1,2335,21868760,miRTarBase,Experiment
hsa-let-7g-5p,IL13,3596,21616524,miRTarBase,-
hsa-let-7g-5p,BMI1,648,20309945,miRTarBase,Experiment
hsa-let-7g-5p,AGO1,26523,23426184,miRTarBase,-
hsa-let-7g-5p,CASP3,836,24252910,miRTarBase,Experiment
hsa-let-7g-5p,THBS1,7057,24291274,miRTarBase,-
hsa-let-7g-5p,TGFBR1,7046,24291274,miRTarBase,-
hsa-let-7g-5p,SMAD2,4087,24291274,miRTarBase,-
hsa-let-7g-5p,AKT2,208,25288334,miRTarBase,-
hsa-let-7g-5p,TNFRSF10B,8795,24120475,miRTarBase,Experiment
hsa-miR-100-5p,PLK1,5347,19739117//22120675//23151088//23842624//22249248,miRTarBase,Experiment
hsa-miR-100-5p,FGFR3,2261,19843843//19396866//23778488//23778527//26604796,miRTarBase,Experiment
hsa-miR-100-5p,MMP13,4322,19396866,miRTarBase,Prediction
hsa-miR-100-5p,ATM,472,20869334,miRTarBase,Experiment
hsa-miR-100-5p,IGF1R,3480,21654750//21643012//24030073,miRTarBase,Experiment
hsa-miR-100-5p,BMPR2,659,22684006,miRTarBase,-
hsa-miR-100-5p,CTDSPL,10217,21643017,miRTarBase,Prediction
hsa-miR-100-5p,FLT1,2321,22955733,miRTarBase,Experiment
hsa-miR-100-5p,MTOR,2475,23292834//23778488//23270926//24030073//26744318,miRTarBase,Experiment
hsa-miR-100-5p,IGF2,3481,22926517,miRTarBase,Prediction
hsa-miR-100-5p,AKT1,207,23724047,miRTarBase,Experiment
hsa-miR-100-5p,SMARCA5,8467,22525276//23778488,miRTarBase,-
hsa-miR-100-5p,HS3ST2,9956,25703026,miRTarBase,-
hsa-miR-100-5p,NCOR2,9612,24244722,miRTarBase,-
hsa-miR-100-5p,HOXA1,3198,24559685//24586203,miRTarBase,-
hsa-miR-100-5p,ZNF215,7762,23778488,miRTarBase,-
hsa-miR-100-5p,THAP2,83591,23778488,miRTarBase,-
hsa-miR-100-5p,FKBP5,2289,24030073,miRTarBase,-
hsa-miR-100-5p,CCN1,3491,24317814,miRTarBase,-
hsa-miR-100-5p,RAP1B,5908,24626817,miRTarBase,-
hsa-miR-100-5p,ZBTB7A,51341,26404754,miRTarBase,-
hsa-miR-100-5p,RNF144B,255488,27524417,miRTarBase,-
hsa-miR-100-5p,ACKR3,57007,27035873,miRTarBase,-
hsa-miR-100-5p,ZNRF2,223082,28416774,miRTarBase,-
hsa-miR-101-3p,MYCN,4613,14697198//21654684,miRTarBase,-
hsa-miR-101-3p,ATXN1,6310,18758459,miRTarBase,-
hsa-miR-101-3p,EZH2,2146,19258506//14697198//19008416//19625769//19043531//20478051//21368858//22450781//21932133//23557329//24211736//23962556//27620004//27966775//26718325,miRTarBase,Experiment
hsa-miR-101-3p,APP,351,20395292//21172309,miRTarBase,-
hsa-miR-101-3p,FOS,2353,19133651//27073439,miRTarBase,Prediction
hsa-miR-101-3p,MCL1,4170,19155302//20829195//21993632//26718267,miRTarBase,Experiment
hsa-miR-101-3p,MT-CO2,4513,23608225,miRTarBase,Experiment
hsa-miR-101-3p,EED,8726,19008416,miRTarBase,-
hsa-miR-101-3p,PTGS2,5743,19133256//23013439//26556718//26530100,miRTarBase,Experiment
hsa-miR-101-3p,ATM,472,20617180,miRTarBase,Experiment
hsa-miR-101-3p,ATP5F1B,506,21291913,miRTarBase,-
hsa-miR-101-3p,DUSP1,1843,21068409,miRTarBase,Experiment
hsa-miR-101-3p,STMN1,3925,21915098//23071542,miRTarBase,Experiment
hsa-miR-101-3p,RAB5A,5868,21915098//24788845,miRTarBase,Experiment
hsa-miR-101-3p,ATG4D,84971,21915098,miRTarBase,-
hsa-miR-101-3p,SOX9,6662,23178713//28147312,miRTarBase,-
hsa-miR-101-3p,DNMT3A,1788,23124077,miRTarBase,-
hsa-miR-101-3p,FMR1,2332,23390134,miRTarBase,-
hsa-miR-101-3p,VEGFA,7422,23608225//25658842,miRTarBase,Experiment
hsa-miR-101-3p,RAC1,5879,28109909,miRTarBase,Experiment
hsa-miR-101-3p,MEIS1,4211,18308931,miRTarBase,-
hsa-miR-101-3p,CDH5,1003,23554480,miRTarBase,-
hsa-miR-101-3p,ZEB1,6935,24677166//28109909//27429852,miRTarBase,Experiment
hsa-miR-101-3p,PTGER4,5734,22353936,miRTarBase,-
hsa-miR-101-3p,CPEB1,64506,23788032,miRTarBase,-
hsa-miR-101-3p,MTOR,2475,22989749//26458815,miRTarBase,Experiment
hsa-miR-101-3p,CFTR,1080,23226399,miRTarBase,-
hsa-miR-101-3p,KLF6,1316,25230316,miRTarBase,-
hsa-miR-101-3p,ZEB2,9839,24677166//28109909,miRTarBase,Experiment
hsa-miR-101-3p,RAP1B,5908,24697700,miRTarBase,-
hsa-miR-101-3p,TET2,54790,24120864,miRTarBase,-
hsa-miR-101-3p,PIM1,5292,26693056,miRTarBase,Experiment
hsa-miR-101-3p,JAK2,3717,26498873,miRTarBase,-
hsa-miR-101-3p,MET,4233,23618864,miRTarBase,Experiment
hsa-miR-101-3p,NLK,51701,24189458,miRTarBase,-
hsa-miR-101-3p,MITF,4286,23962556,miRTarBase,-
hsa-miR-101-3p,PRDM1,639,26655851,miRTarBase,-
hsa-miR-101-3p,VEGFC,7424,26460960//26299768,miRTarBase,Experiment
hsa-miR-101-3p,PIK3CB,5291,26458815,miRTarBase,Experiment
hsa-miR-101-3p,NOTCH1,4851,27666896,miRTarBase,Experiment
hsa-miR-101-3p,PRKAB1,5564,27145268,miRTarBase,-
hsa-miR-101-3p,RHOA,387,28109909,miRTarBase,Experiment
hsa-miR-101-3p,SRF,6722,28251884,miRTarBase,-
hsa-miR-101-3p,RUNX1,861,26628987,miRTarBase,-
hsa-miR-101-3p,CDK8,1024,26286725,miRTarBase,Experiment
hsa-miR-101-3p,CTNNB1,1499,26286725,miRTarBase,Experiment
hsa-miR-101-3p,CCND1,595,26286725,miRTarBase,Experiment
hsa-miR-101-3p,SNHG1,23642,28147312,miRTarBase,-
hsa-miR-101-3p,EYA1,2138,27082308,miRTarBase,-
hsa-miR-101-3p,VHL,7428,26841847,miRTarBase,-
hsa-miR-101-3p,GRSF1,2926,26984403,miRTarBase,-
hsa-miR-101-3p,ITGA3,3675,28102841,miRTarBase,Experiment
hsa-miR-106a-5p,E2F1,1869,20643754//21656380,miRTarBase,Experiment
hsa-miR-106a-5p,CDKN1A,1026,18212054//19782699//20190813//20385818,miRTarBase,Experiment
hsa-miR-106a-5p,HIPK3,10114,17575136,miRTarBase,-
hsa-miR-106a-5p,MYLIP,29116,17575136,miRTarBase,-
hsa-miR-106a-5p,RB1,5925,20643754//16461460//20889678,miRTarBase,-
hsa-miR-106a-5p,APP,351,18684319,miRTarBase,-
hsa-miR-106a-5p,RUNX1,861,17589498,miRTarBase,-
hsa-miR-106a-5p,ARID4B,51742,17575136,miRTarBase,-
hsa-miR-106a-5p,VEGFA,7422,18320040,miRTarBase,Experiment
hsa-miR-106a-5p,IL10,3586,19307576,miRTarBase,-
hsa-miR-106a-5p,FAS,355,22431000//27142596,miRTarBase,-
hsa-miR-106a-5p,TGFBR2,7048,22912877,miRTarBase,-
hsa-miR-106a-5p,CYP19A1,1588,23438603,miRTarBase,-
hsa-miR-106a-5p,PTEN,5728,24108762//26306906//26097565,miRTarBase,Experiment
hsa-miR-106a-5p,SIRPA,140885,23562609,miRTarBase,Prediction
hsa-miR-106a-5p,SLC2A3,6515,24124917,miRTarBase,-
hsa-miR-106a-5p,BMP2,650,23399447,miRTarBase,-
hsa-miR-106a-5p,STAT3,6774,23836497//23399684//27325313,miRTarBase,Experiment
hsa-miR-106a-5p,CCND1,595,23836497,miRTarBase,Experiment
hsa-miR-106a-5p,ATM,472,23857602,miRTarBase,Experiment
hsa-miR-106a-5p,CASP7,840,23807165,miRTarBase,-
hsa-miR-106a-5p,BCL10,8915,23807165,miRTarBase,-
hsa-miR-106a-5p,RUNX3,864,23932924,miRTarBase,Experiment
hsa-miR-106a-5p,TIMP2,7077,24440352//24444603//24704830,miRTarBase,-
hsa-miR-106a-5p,MAPK9,5601,23029228,miRTarBase,Experiment
hsa-miR-106a-5p,ULK1,8408,27372519,miRTarBase,-
hsa-miR-106a-5p,HIF1A,3091,27325313,miRTarBase,Experiment
hsa-miR-106a-5p,RBL2,5934,24045973,miRTarBase,-
hsa-miR-106a-5p,APC,324,27815074,miRTarBase,-
hsa-miR-106a-5p,MFN2,9927,27565029,miRTarBase,-
hsa-miR-106a-5p,CXCL8,3576,26265888,miRTarBase,Experiment
hsa-miR-106a-5p,MYB,4602,26265888,miRTarBase,Experiment
hsa-miR-106a-5p,ATG7,10533,27981410,miRTarBase,-
hsa-miR-106a-5p,CDX2,1045,25950430,miRTarBase,-
hsa-miR-106a-5p,MGST2,4258,25950430,miRTarBase,-
hsa-miR-106a-5p,ERCC1,2067,25950430,miRTarBase,Experiment
hsa-miR-106a-5p,RND3,390,25950430,miRTarBase,Prediction
hsa-miR-106a-5p,RARB,5915,27342319,miRTarBase,-
hsa-miR-106a-5p,HMGA2,8091,27383537,miRTarBase,-
hsa-miR-106b-5p,ITCH,83737,19074548//19096009//26621835,miRTarBase,-
hsa-miR-106b-5p,APP,351,19110058,miRTarBase,-
hsa-miR-106b-5p,CDKN1A,1026,18676839//18328430//19153141//18212054//20190813//20385818//19422085//20101223//21283765//20709030//23803041//26238857,miRTarBase,Experiment
hsa-miR-106b-5p,E2F1,1869,18676839//19486339//18328430//21283765//18212054,miRTarBase,Experiment
hsa-miR-106b-5p,KAT2B,8850,18728182,miRTarBase,-
hsa-miR-106b-5p,VEGFA,7422,18320040,miRTarBase,Experiment
hsa-miR-106b-5p,BCL2L11,10018,23028803,miRTarBase,Experiment
hsa-miR-106b-5p,RB1,5925,21283765//21819631//24292682,miRTarBase,-
hsa-miR-106b-5p,TCEAL1,9338,21283757//22613985//23028803,miRTarBase,Experiment
hsa-miR-106b-5p,CCND1,595,21283765,miRTarBase,Experiment
hsa-miR-106b-5p,CCND2,894,21283765,miRTarBase,Prediction
hsa-miR-106b-5p,PTEN,5728,21283765//24842611//25041637//27270534//26238857,miRTarBase,Experiment
hsa-miR-106b-5p,RBL1,5933,21283765//24166509,miRTarBase,Experiment
hsa-miR-106b-5p,RBL2,5934,21283765//23377830//24166509,miRTarBase,-
hsa-miR-106b-5p,WEE1,7465,21283765,miRTarBase,Experiment
hsa-miR-106b-5p,EOMES,8320,20709030,miRTarBase,-
hsa-miR-106b-5p,PURA,5813,22835829,miRTarBase,-
hsa-miR-106b-5p,APC,324,23087084,miRTarBase,-
hsa-miR-106b-5p,CASP7,840,22986525,miRTarBase,-
hsa-miR-106b-5p,JAK1,3716,25307786,miRTarBase,-
hsa-miR-106b-5p,PKD2,5311,20709030,miRTarBase,-
hsa-miR-106b-5p,SETD2,29072,25714014,miRTarBase,Experiment
hsa-miR-106b-5p,E2F5,1875,23803041,miRTarBase,-
hsa-miR-106b-5p,ATG16L1,55054,24036151,miRTarBase,-
hsa-miR-106b-5p,SMAD7,4092,22286770//25286029,miRTarBase,-
hsa-miR-106b-5p,STAT3,6774,25307786//26956882//27325313,miRTarBase,Experiment
hsa-miR-106b-5p,ZBTB4,57659,22752225,miRTarBase,-
hsa-miR-106b-5p,TWIST1,7291,24002805,miRTarBase,Experiment
hsa-miR-106b-5p,HIF1A,3091,27325313,miRTarBase,Experiment
hsa-miR-106b-5p,TRIM8,81603,28327152,miRTarBase,-
hsa-miR-106b-5p,CASP8,841,24166509,miRTarBase,-
hsa-miR-106b-5p,RUNX3,864,23912048,miRTarBase,Experiment
hsa-miR-106b-5p,MMP2,4313,24164962,miRTarBase,-
hsa-miR-106b-5p,MFN2,9927,23954742,miRTarBase,-
hsa-miR-106b-5p,NIBAN1,116496,26317551,miRTarBase,-
hsa-miR-106b-5p,RHOC,389,25933027,miRTarBase,Experiment
hsa-miR-106b-5p,PRRX1,5396,26617763,miRTarBase,Experiment
hsa-miR-106b-5p,FYN,2534,27520374,miRTarBase,-
hsa-miR-106b-5p,DAB2,1601,26769181,miRTarBase,Prediction
hsa-miR-106b-5p,SLC2A4,6517,27165190,miRTarBase,-
hsa-miR-106b-5p,PTENP1,11191,28212532,miRTarBase,Prediction
hsa-miR-106b-5p,CYBB,1536,28235791,miRTarBase,-
hsa-miR-106b-5p,TNFRSF10A,8797,28410209,miRTarBase,-
hsa-miR-106b-5p,TNFSF11,8600,26053181,miRTarBase,-
hsa-miR-107,PLAG1,5324,19692702,miRTarBase,-
hsa-miR-107,BACE1,23621,18234899//20489155,miRTarBase,-
hsa-miR-107,CDK6,1021,19407485//19688090//20833636//21264532//23220650//28393193,miRTarBase,Experiment
hsa-miR-107,MYB,4602,18818396,miRTarBase,Experiment
hsa-miR-107,VEGFA,7422,18320040,miRTarBase,Experiment
hsa-miR-107,HIF1A,3091,20308559,miRTarBase,Experiment
hsa-miR-107,ARNT,405,20308559,miRTarBase,Experiment
hsa-miR-107,FBXW7,55294,20042474,miRTarBase,Experiment
hsa-miR-107,GRN,2896,20884628//20489155,miRTarBase,Experiment
hsa-miR-107,NFIA,4774,17260024,miRTarBase,Experiment
hsa-miR-107,DICER1,23405,20603000//21029372,miRTarBase,-
hsa-miR-107,DAPK1,1612,22593189,miRTarBase,-
hsa-miR-107,KLF4,9314,22593189,miRTarBase,Prediction
hsa-miR-107,AXIN2,8313,21501592,miRTarBase,-
hsa-miR-107,CYP2C8,1558,22723340,miRTarBase,-
hsa-miR-107,CHRM1,1128,23423139,miRTarBase,-
hsa-miR-107,NOTCH2,4853,23299462//23220650//23572380,miRTarBase,Experiment
hsa-miR-107,AGO1,26523,23426184,miRTarBase,-
hsa-miR-107,PRKCE,5581,22158047,miRTarBase,Experiment
hsa-miR-107,FOXO1,2308,24374340,miRTarBase,-
hsa-miR-107,CDK8,1024,25163571,miRTarBase,Experiment
hsa-miR-107,CAV1,857,25407491,miRTarBase,Experiment
hsa-miR-107,LATS2,26524,25824045,miRTarBase,-
hsa-miR-107,SNCG,6623,24040069,miRTarBase,Experiment
hsa-miR-107,JAK1,3716,24429361,miRTarBase,-
hsa-miR-107,IL6,3569,24429361,miRTarBase,Experiment
hsa-miR-107,RAD51,5888,24088786,miRTarBase,Experiment
hsa-miR-107,SALL4,57167,23811124,miRTarBase,Experiment
hsa-miR-107,SH3GL2,6456,27038654,miRTarBase,-
hsa-miR-107,SERPINB5,5268,26296971//27409165,miRTarBase,Experiment
hsa-miR-107,CHGA,1113,25392232,miRTarBase,-
hsa-miR-107,CLOCK,9575,25522185,miRTarBase,-
hsa-miR-107,LIN28A,79727,26636340,miRTarBase,Experiment
hsa-miR-107,NF1,4763,27827403,miRTarBase,Prediction
hsa-miR-107,CDC42,998,28393193,miRTarBase,-
hsa-miR-107,HMGA2,8091,27773820,miRTarBase,-
hsa-miR-107,CPEB1,64506,26497556,miRTarBase,-
hsa-miR-107,SIAH1,6477,25851994,miRTarBase,Experiment
hsa-miR-10a-5p,HOXA1,3198,16549775//24498243,miRTarBase,-
hsa-miR-10a-5p,USF2,7392,19074828,miRTarBase,-
hsa-miR-10a-5p,NCOR2,9612,21212796,miRTarBase,-
hsa-miR-10a-5p,MAP3K7,6885,20624982,miRTarBase,-
hsa-miR-10a-5p,BTRC,8945,20624982,miRTarBase,-
hsa-miR-10a-5p,SRSF1,6426,21118818,miRTarBase,Experiment
hsa-miR-10a-5p,TRA2B,6434,21118818,miRTarBase,-
hsa-miR-10a-5p,EPHA4,2043,22996586,miRTarBase,-
hsa-miR-10a-5p,CHL1,10752,22634495,miRTarBase,-
hsa-miR-10a-5p,ACTG1,71,28383561,miRTarBase,-
hsa-miR-10a-5p,BCL2L11,10018,26824181,miRTarBase,Experiment
hsa-miR-10a-5p,PTEN,5728,24100613//26317552,miRTarBase,Experiment
hsa-miR-10a-5p,PIK3CG,5294,24522205,miRTarBase,-
hsa-miR-10a-5p,SERPINE1,5054,25554417,miRTarBase,Experiment
hsa-miR-10a-5p,GP1BA,2811,27834869,miRTarBase,-
hsa-miR-10a-5p,NOD2,64127,25281418,miRTarBase,-
hsa-miR-10a-5p,MMP14,4323,28383561,miRTarBase,-
hsa-miR-10a-5p,MAPK8IP1,9479,28454224,miRTarBase,-
hsa-miR-10a-5p,BDNF,627,28112253,miRTarBase,-
hsa-miR-10a-5p,BCL6,604,26590574,miRTarBase,-
hsa-miR-122-5p,CYP7A1,1581,20351063,miRTarBase,-
hsa-miR-122-5p,IGF1R,3480,19726678//23056576//20884628,miRTarBase,Experiment
hsa-miR-122-5p,SRF,6722,19726678,miRTarBase,-
hsa-miR-122-5p,RAC1,5879,19935707//26540468,miRTarBase,Experiment
hsa-miR-122-5p,RHOA,387,19617899//19935707,miRTarBase,Experiment
hsa-miR-122-5p,CCNG1,900,17616664//19584283//18692484//27528885,miRTarBase,Experiment
hsa-miR-122-5p,GYS1,2997,18073344,miRTarBase,-
hsa-miR-122-5p,ANK2,287,19296470,miRTarBase,-
hsa-miR-122-5p,NFATC2IP,84901,19296470,miRTarBase,-
hsa-miR-122-5p,ENTPD4,9583,19296470,miRTarBase,-
hsa-miR-122-5p,ANXA11,311,19296470,miRTarBase,-
hsa-miR-122-5p,ALDOA,226,19296470,miRTarBase,Experiment
hsa-miR-122-5p,RAB6B,51560,19296470,miRTarBase,-
hsa-miR-122-5p,RAB11FIP1,80223,19296470,miRTarBase,-
hsa-miR-122-5p,FOXP1,27086,19296470,miRTarBase,Experiment
hsa-miR-122-5p,MECP2,4204,19296470,miRTarBase,-
hsa-miR-122-5p,NCAM1,4684,19296470,miRTarBase,-
hsa-miR-122-5p,UBAP2,55833,19296470,miRTarBase,-
hsa-miR-122-5p,TBX19,9095,19296470,miRTarBase,-
hsa-miR-122-5p,AACS,65985,19296470,miRTarBase,-
hsa-miR-122-5p,DUSP2,1844,19296470,miRTarBase,-
hsa-miR-122-5p,ATP1A2,477,19296470,miRTarBase,-
hsa-miR-122-5p,MAPK11,5600,19296470,miRTarBase,-
hsa-miR-122-5p,FUNDC2,65991,19296470,miRTarBase,-
hsa-miR-122-5p,AKT3,10000,19296470//24244539,miRTarBase,-
hsa-miR-122-5p,TPD52L2,7165,19296470,miRTarBase,-
hsa-miR-122-5p,GALNT10,55568,19296470//25422324,miRTarBase,-
hsa-miR-122-5p,G6PC3,92579,19296470,miRTarBase,-
hsa-miR-122-5p,AP3M2,10947,19296470,miRTarBase,-
hsa-miR-122-5p,SLC7A1,6541,17179747//19296470//16777601,miRTarBase,-
hsa-miR-122-5p,XPO6,23214,19296470,miRTarBase,-
hsa-miR-122-5p,FOXJ3,22887,19296470,miRTarBase,-
hsa-miR-122-5p,SLC7A11,23657,19296470,miRTarBase,Experiment
hsa-miR-122-5p,TRIB1,10221,19296470,miRTarBase,Experiment
hsa-miR-122-5p,EGLN3,112399,19296470,miRTarBase,-
hsa-miR-122-5p,NUMBL,9253,19296470,miRTarBase,-
hsa-miR-122-5p,ADAM17,6868,19296470//19935707,miRTarBase,-
hsa-miR-122-5p,DSTYK,25778,19296470,miRTarBase,-
hsa-miR-122-5p,FAM117B,150864,19296470,miRTarBase,-
hsa-miR-122-5p,BCL2L2,599,18692484//27415790,miRTarBase,-
hsa-miR-122-5p,PRKAB1,5564,16459310,miRTarBase,-
hsa-miR-122-5p,ADAM10,102,19726678//25318895,miRTarBase,-
hsa-miR-122-5p,PRKRA,8575,21937511,miRTarBase,-
hsa-miR-122-5p,WNT1,7471,22276989//27687586,miRTarBase,Experiment
hsa-miR-122-5p,PTPN1,5770,22807119,miRTarBase,-
hsa-miR-122-5p,NT5C3A,51251,23055569,miRTarBase,-
hsa-miR-122-5p,P4HA1,5033,23178710,miRTarBase,-
hsa-miR-122-5p,ZNF395,55893,23221562,miRTarBase,-
hsa-miR-122-5p,SOCS1,8651,23348614,miRTarBase,Experiment
hsa-miR-122-5p,HMOX1,3162,20633528,miRTarBase,Experiment
hsa-miR-122-5p,CREB1,1385,28337380,miRTarBase,Experiment
hsa-miR-122-5p,PKM,5315,24466275,miRTarBase,Experiment
hsa-miR-122-5p,CLIC4,25932,23793894,miRTarBase,Experiment
hsa-miR-122-5p,BAX,581,18692484,miRTarBase,Experiment
hsa-miR-122-5p,CDK4,1019,21750653,miRTarBase,Experiment
hsa-miR-122-5p,MEF2D,4209,24390737//27109478,miRTarBase,Experiment
hsa-miR-122-5p,AXL,558,24113455,miRTarBase,-
hsa-miR-122-5p,NOD2,64127,23872065,miRTarBase,-
hsa-miR-122-5p,FUT8,2530,24130780,miRTarBase,Experiment
